path	COUNT(DISTINCT r.job_id)	MAX(r.date)	YEAR(r.date)
/opt/ccoe/fftw-3.3.10/	0	NULL	NULL
/opt/ccoe/fftw-3.3.8/	0	NULL	NULL
/opt/ccoe/fftw3/	0	NULL	NULL
/opt/ccoe/fltk/	0	NULL	NULL
/opt/ccoe/gcc-11.3.0/	0	NULL	NULL
/opt/ccoe/gcc-14.1/	0	NULL	NULL
/opt/ccoe/gcc-4.8.5/	0	NULL	NULL
/opt/ccoe/git/	0	NULL	NULL
/opt/ccoe/gromacs-/	0	NULL	NULL
/opt/ccoe/gromacs-2018-gcc/	12	2023-10-07 17:28:03	2023
/opt/ccoe/gromacs-2018-gcc/	5	2024-12-07 15:09:43	2024
/opt/ccoe/gromacs-2018-gcc/	7	2025-04-10 16:44:26	2025
/opt/ccoe/gromacs-2018-icc/	5	2022-12-31 23:59:51	2022
/opt/ccoe/gromacs-2018-icc/	20198	2023-12-04 20:11:57	2023
/opt/ccoe/gromacs-2018-icc/	17487	2024-12-31 23:28:05	2024
/opt/ccoe/gromacs-2018-icc/	7303	2025-05-14 12:56:57	2025
/opt/ccoe/gromacs-2019.4-gcc-cuda/	366	2023-08-14 17:55:43	2023
/opt/ccoe/gromacs-2019.4-icc/	0	NULL	NULL
/opt/ccoe/gromacs-2020.3-gcc-cuda/	335	2023-12-09 14:43:58	2023
/opt/ccoe/gromacs-2020.3-gcc-cuda/	178	2025-05-25 03:44:43	2025
/opt/ccoe/gromacs-2020.3-mpi-cuda/	1139	2023-12-31 10:40:50	2023
/opt/ccoe/gromacs-2020.3-mpi-cuda/	1394	2024-12-31 19:04:57	2024
/opt/ccoe/gromacs-2020.3-mpi-cuda/	548	2025-06-10 10:08:48	2025
/opt/ccoe/gromacs-5.1.1/	211	2023-12-31 23:59:39	2023
/opt/ccoe/gromacs-5.1.1/	308	2024-12-17 14:14:33	2024
/opt/ccoe/gromacs-5.1.1/	73	2025-04-10 20:43:12	2025
/opt/ccoe/gsl/	0	NULL	NULL
/opt/ccoe/intel_2019_cpp/	0	NULL	NULL
/opt/ccoe/intel_2019_cpp_only/	0	NULL	NULL
/opt/ccoe/lammps-29Oct2020/	1	2024-04-12 17:30:26	2024
/opt/ccoe/lammps-29Oct2020/	2	2025-02-11 14:41:56	2025
/opt/ccoe/lammps-30Jul16/	0	NULL	NULL
/opt/ccoe/lammps-7Aug19/	3	2023-11-13 17:02:47	2023
/opt/ccoe/lammps-7Aug19/	136	2024-09-15 12:49:51	2024
/opt/ccoe/lammps-7Dec15/	0	NULL	NULL
/opt/ccoe/lammps-7Feb2024/	65	2024-10-17 01:16:34	2024
/opt/ccoe/lammps-7Feb2024/	161	2025-05-21 00:40:15	2025
/opt/ccoe/lammps/	47	2023-11-14 15:25:01	2023
/opt/ccoe/lammps/	278	2024-12-30 19:02:27	2024
/opt/ccoe/lammps/	5	2025-03-14 10:27:21	2025
/opt/ccoe/libxx/	0	NULL	NULL
/opt/ccoe/magma-1.7.0/	0	NULL	NULL
/opt/ccoe/ML-DL_Python-2.7/	0	NULL	NULL
/opt/ccoe/ML-DL_Python-3.6/	0	NULL	NULL
/opt/ccoe/ML-DL_Python-3.6_nccl/	0	NULL	NULL
/opt/ccoe/ML-DL_Python-3.6_test/	0	NULL	NULL
/opt/ccoe/modulefiles/	0	NULL	NULL
/opt/ccoe/myModulefiles/	0	NULL	NULL
/opt/ccoe/NAMD-2.11-cuda/	211	2023-12-22 14:55:57	2023
/opt/ccoe/NAMD-2.11-cuda/	341	2024-12-29 17:18:10	2024
/opt/ccoe/NAMD-2.11-cuda/	175	2025-06-10 10:41:21	2025
/opt/ccoe/NAMD-2.11/	1	2024-12-13 12:15:52	2024
/opt/ccoe/NAMD-2.11/	6	2025-03-01 19:21:46	2025
/opt/ccoe/NAMD-2.14/	0	NULL	NULL
/opt/ccoe/namd/2.14-icc-cuda8/	0	NULL	NULL
/opt/ccoe/namd/Linux-x86_64-icc/	0	NULL	NULL
/opt/ccoe/namd/namd-2.14b2-gcc/	8	2023-03-27 13:39:30	2023
/opt/ccoe/namd/namd-2.14b2-gcc/	53	2025-03-27 14:53:39	2025
/opt/ccoe/namd/namd-3.01-gcc-cuda/	0	NULL	NULL
/opt/ccoe/namd/namd-3.01-gcc-cuda11/	0	NULL	NULL
/opt/ccoe/namd/namd-test/	0	NULL	NULL
/opt/ccoe/namd_cuda/	0	NULL	NULL
/opt/ccoe/namd_smp/	0	NULL	NULL
/opt/ccoe/nccl/	0	NULL	NULL
/opt/ccoe/nvhpc_2024_245/	0	NULL	NULL
/opt/ccoe/nwchem-6.6/	22	2023-10-27 12:09:59	2023
/opt/ccoe/nwchem-6.6/	2	2024-12-30 17:22:05	2024
/opt/ccoe/nwchem-6.8/	89	2023-12-19 02:51:12	2023
/opt/ccoe/nwchem-6.8/	1	2025-04-24 12:40:42	2025
/opt/ccoe/old/	0	NULL	NULL
/opt/ccoe/openCV-2.4/	0	NULL	NULL
/opt/ccoe/plumed2/	0	NULL	NULL
/opt/ccoe/pmu-events/	0	NULL	NULL
/opt/ccoe/singularity-3.11.0/	0	NULL	NULL
/opt/ccoe/singularity/	5	2024-08-21 13:23:54	2024
/opt/ccoe/singularity/	16	2025-04-23 21:30:37	2025
/opt/ccoe/sources/	0	NULL	NULL
/opt/ccoe/tensorflow/	0	NULL	NULL
/opt/ccoe/TeraChem/	0	NULL	NULL
/opt/ccoe/vasp-5.4.1/	85	2023-12-14 16:50:58	2023
/opt/ccoe/vasp-5.4.1/	219	2024-10-28 22:58:39	2024
/opt/ccoe/vasp-5.4.4/	5	2023-12-14 17:06:04	2023
/opt/ccoe/vasp-5.4.4/	39	2024-12-01 09:08:43	2024
/opt/ccoe/vasp-6.4.1/	0	NULL	NULL
/opt/ccoe/vasp-6.6.3/	0	NULL	NULL
/opt/cgf/	0	NULL	NULL
/opt/cgru/	0	NULL	NULL
/opt/check-status/	0	NULL	NULL
/opt/clang/	0	NULL	NULL
/opt/cmake/	0	NULL	NULL
/opt/collectd-5.5/	0	NULL	NULL
/opt/collectd/	0	NULL	NULL
/opt/conda_env/	0	NULL	NULL
/opt/containerd/	0	NULL	NULL
/opt/cuda/cuda-10.1/	0	NULL	NULL
/opt/cuda/cuda-11.1/	0	NULL	NULL
/opt/cuda/cuda-12.0/	0	NULL	NULL
/opt/cuda/cuda-12.4/	0	NULL	NULL
/opt/cuda/cuda-5.5/	0	NULL	NULL
/opt/cuda/cuda-6.5/	0	NULL	NULL
/opt/cuda/cuda-8.0/	0	NULL	NULL
/opt/cuda/cuda-9.0/	0	NULL	NULL
/opt/cuda/cuda-9.1/	0	NULL	NULL
