path    COUNT(o.object_path)    MIN(o.object_path)
/opt/mpi/openmpi-4.1.0-gcc9/    98      /opt/mpi/openmpi-4.1.0-gcc9/lib/libmca_common_dstore.so.1.0.2\n
/opt/mpi/openmpi-4.1.0-icc/     83      /opt/mpi/openmpi-4.1.0-icc/lib/libmca_common_dstore.so.1.0.2\n
/opt/mpi/openmpi-4.1.1-gcc8/    101     /opt/mpi/openmpi-4.1.1-gcc8/lib/libmca_common_dstore.so.1.0.2\n
/opt/mpi/openmpi-4.1.1-icc/     98      /opt/mpi/openmpi-4.1.1-icc/lib/libmca_common_cuda.so.40.30.0
/opt/mpi/openmpi-5.0.5/ 7       /opt/mpi/openmpi-5.0.5/lib/libevent_core-2.1.so.7.0.1
/opt/mpi/wrappers/      0       NULL
/opt/Navisphere/        0       NULL
/opt/nec/aur_license/   0       NULL
/opt/nec/nec/   0       NULL
/opt/nec/prepare-upgrade.sh/    0       NULL
/opt/nec/set_numa_mode.sh/      0       NULL
/opt/nec/ve/    0       NULL
/opt/neohost/   0       NULL
/opt/nmon/      0       NULL
/opt/nmon_old/  0       NULL
/opt/nodetest/  0       NULL
/opt/nvidia/    158     /opt/nvidia/driver/396.26/libnvidia-ml.so\n
/opt/octo/      0       NULL
/opt/opt/       0       NULL
/opt/osu/       0       NULL
/opt/papi_avail/        0       NULL
/opt/paradigm.mount/    0       NULL
/opt/paradigm.umount/   0       NULL
/opt/pgi/       82      /opt/pgi/linux86-64/18.4/lib/acc_init_link_cuda.o
/opt/phoronix-test-suite/       0       NULL
/opt/pwnam/     0       NULL
/opt/qwe/       0       NULL
/opt/r.tgz/     0       NULL
/opt/rh/devtoolset-7/   0       NULL
/opt/rh/devtoolset-8/   6       /opt/rh/devtoolset-8/root/usr/lib/gcc/x86_64-redhat-linux/8/libgcc.a
/opt/rh/devtoolset-9/   7       /opt/rh/devtoolset-9/root/usr/lib/gcc/x86_64-redhat-linux/9/libgcc.a
/opt/rh/rh-ruby27/      1       /opt/rh/rh-ruby27/root/usr/lib64/libruby.so.2.7.1
/opt/rh/rh/     0       NULL
/opt/schrodinger/       0       NULL
/opt/setup_cgf.sh/      0       NULL
/opt/sin_cont/  0       NULL
/opt/slurm.old/ 0       NULL
/opt/slurm/14.11.5/     0       NULL
/opt/slurm/14.11.5m/    0       NULL
/opt/slurm/15.08.1/     18      /opt/slurm/15.08.1/lib/libpmi.so.0.0.0\n
/opt/slurm/current/     0       NULL
/opt/slurm/etc-15.08.1/ 0       NULL
/opt/slurm/etc/ 0       NULL
/opt/slurm/scripts/     2       /opt/slurm/scripts/dimmon-mode.so\n
/opt/so/        0       NULL
/opt/soft/      0       NULL
/opt/software/amber/    48      /opt/software/amber/amber22/lib/libarpack.so\n
/opt/software/amber14-gpu/      0       NULL
/opt/software/amber22-cpu/      0       NULL
/opt/software/amber22/  0       NULL
/opt/software/Anaconda2/        152     /opt/software/Anaconda2/lib/libQt5Core.so.5.9.5\n
/opt/software/Anaconda3.11/     390     /opt/software/Anaconda3.11/lib/libLLVM-14.so\n
/opt/software/Anaconda3/        579     /opt/software/Anaconda3/envs/tf-gpu/lib/libcrypto.so.1.1\n
/opt/software/assembly_tools/   108     /opt/software/assembly_tools/jellyfish/jellyfish-2.3.1/.libs/libjellyfish-2.0.so.2.0.0
/opt/software/bazel/    0       NULL
/opt/software/biovia/   0       NULL
/opt/software/castep-7.01/      0       NULL
/opt/software/charliecloud/     0       NULL
/opt/software/clang-6.0/        440     /opt/software/clang-6.0/lib/Transforms/Hello/CMakeFiles/LLVMHello.dir/Hello.cpp.o
/opt/software/clang-7.0/        1       /opt/software/clang-7.0/lib/libclang.so.7
/opt/software/cmake-3.19.8/     0       NULL
/opt/software/containers/       0       NULL
/opt/software/cp2k/     142     /opt/software/cp2k/2024.2/tools/toolchain/build/OpenBLAS-0.3.27/libopenblas_haswellp-r0.3.27.so
/opt/software/cryosparc/        24      /opt/software/cryosparc/cryoem/relion/lib/libfltk.so.1.3
/opt/software/cryospark/        0       NULL
/opt/software/CubeBundle/       2       /opt/software/CubeBundle/4.5/lib/libcube4.so.7.2.0
/opt/software/cudatoolkit/      13      /opt/software/cudatoolkit/lib64/libcublas.so.8.0.61\n
/opt/software/easybuild/        0       NULL
/opt/software/elpa-2019-05-001-omp/     0       NULL
/opt/software/elpa-2019.05.001/ 2       /opt/software/elpa-2019.05.001/lib/libelpa.so.14.0.0\n
/opt/software/espresso-6.2.1/   3723    /opt/software/espresso-6.2.1/CPV/src/cprstart.o
/opt/software/espresso-6.3/     0       NULL
/opt/software/extralibs/        9       /opt/software/extralibs/libGLU.so.1.3.1\n
/opt/software/firefly/  0       NULL
/opt/software/FlowVision/       777     /opt/software/FlowVision/FV30904/lib64/libirng.so\n
/opt/software/FV/       21      /opt/software/FV/FlowVision-3.10.02/lib64/libAMGLib.so.1
/opt/software/gcc-5.5/  1870    /opt/software/gcc-5.5/build-x86_64-unknown-linux-gnu/fixincludes/fixfixes.o
/opt/software/gcc-9.1/  30      /opt/software/gcc-9.1/lib/gcc/x86_64-linux-gnu/9.1.0/crtbegin.o
/opt/software/gmp-6.2.1/        0       NULL
/opt/software/Gmsh/     832     /opt/software/Gmsh/3.0.6/gmsh/build/CMakeFiles/gmsh.dir/Common/CommandLine.cpp.o
/opt/software/gsl/      4       /opt/software/gsl/2.6/lib/libgsl.so.25.0.0\n
/opt/software/gulp/     0       NULL
/opt/software/hdf5/1.12.0-gcc9/ 5       /opt/software/hdf5/1.12.0-gcc9/lib/libhdf5.so.200.0.0\n
/opt/software/hdf5/1.12.0-openmpi-gcc9/ 3       /opt/software/hdf5/1.12.0-openmpi-gcc9/lib/libhdf5.so.200.0.0
/opt/software/hdf5/1.12.0-openmpi4/     5       /opt/software/hdf5/1.12.0-openmpi4/lib/libhdf5.so.200.0.0\n
/opt/software/hdf5/1.12.0/      5       /opt/software/hdf5/1.12.0/lib/libhdf5.so.200.0.0\n
/opt/software/hdf5/1.12.1-openmpi-gcc9/ 4       /opt/software/hdf5/1.12.1-openmpi-gcc9/lib/libhdf5.so.200.1.0\n
/opt/software/hdf5/1.12.1-openmpi4-gxx9/        4       /opt/software/hdf5/1.12.1-openmpi4-gxx9/lib/libhdf5.so.200.1.0
/opt/software/hdf5/1.12.1-oprnmpi4-gcc9/        4       /opt/software/hdf5/1.12.1-oprnmpi4-gcc9/lib/libhdf5.so.200.1.0
/opt/software/hpas/     0       NULL
/opt/software/java/     14      /opt/software/java/jdk1.8.0_191/jre/lib/amd64/libawt.so\n
/opt/software/keras/    0       NULL
/opt/software/kokkos-kernels/   0       NULL
/opt/software/kokkos/   0       NULL
/opt/software/lammps/2020Mar3-gpu/      0       NULL
/opt/software/lammps/2021May27-2/       0       NULL
/opt/software/lammps/2021May27/ 0       NULL
/opt/software/lammps/lammps-22Feb18-cuda/       569     /opt/software/lammps/lammps-22Feb18-cuda/lib/gpu/libgpu.a
/opt/software/lammps/lammps-22Feb18-ompi/       526     /opt/software/lammps/lammps-22Feb18-ompi/lib/reax/libreax.a
/opt/software/lammps/lammps-22Feb18/    3369    /opt/software/lammps/lammps-22Feb18/src/Obj_gpu/angle.o
/opt/software/lammps/lammps-30Mar18-cuda-p100/  567     /opt/software/lammps/lammps-30Mar18-cuda-p100/lib/gpu/libgpu.a
/opt/software/lammps/lammps.tar.gz/     0       NULL
/opt/software/MATLAB/R2017b/    0       NULL
/opt/software/MATLAB/R2018b/    0       NULL
/opt/software/MATLAB/R2019a/    0       NULL
/opt/software/MATLAB/R2019b/    0       NULL
/opt/software/MATLAB/Runtime_R2021b/    0       NULL
/opt/software/molpro/   0       NULL
/opt/software/mpip/     2       /opt/software/mpip/lib/libmpiP.a
/opt/software/Nek5000/  0       NULL
/opt/software/netcdf/   3       /opt/software/netcdf/4.8.0/lib/libnetcdf.so.19.0.0\n
/opt/software/netgauge/ 0       NULL
/opt/software/nhc.old/  0       NULL
/opt/software/nhc/      0       NULL
/opt/software/nwchem-6.8/       0       NULL
/opt/software/openblas/ 3       /opt/software/openblas/0.3.9-gcc/lib/libopenblas_haswellp-r0.3.9.dev.so\n
/opt/software/opencascade/      64      /opt/software/opencascade/7.2.0/lib/libTKBO.so.7.2.0\n
/opt/software/OpenFoam-4.1/     0       NULL
/opt/software/OpenFoam-5.0/     5860    /opt/software/OpenFoam-5.0/OpenFOAM-5.0/platforms/linux64GccDPInt32Opt/applications/solvers/DNS/dnsFoam/dnsFoam.o
/opt/software/OpenFOAM/ 195     /opt/software/OpenFOAM/OpenFOAM-3.0.0/platforms/linux64Gcc48DPInt32Opt/lib/libODE.so
/opt/software/orca_5_0_3_linux_x86-64_shared_openmpi411/        2       /opt/software/orca_5_0_3_linux_x86-64_shared_openmpi411/liborca_tools_5_0_3.so.5\n
/opt/software/otf2/     0       NULL
/opt/software/PDGM/     1       /opt/software/PDGM/Paradigm-17/Applications/Geolog/lib/libirng.so\n
/opt/software/pmu-tools/        0       NULL
/opt/software/python/   0       NULL
/opt/software/qt/       6       /opt/software/qt/5.12.0/lib/libQt5Concurrent.so.5.12.0
/opt/software/R/        0       NULL
/opt/software/sarus/    0       NULL
/opt/software/scalasca/ 0       NULL
/opt/software/schrodinger20/    0       NULL
/opt/software/schrodinger2017-4/        0       NULL
/opt/software/schrodinger2018-1/        295     /opt/software/schrodinger2018-1/internal/lib/libmsys-core.so\n
/opt/software/schrodinger2019-3/        1       /opt/software/schrodinger2019-3/internal/lib/libpython3.6m.so.1.0\n
/opt/software/smenu/    0       NULL
/opt/software/software/ 0       NULL
/opt/software/trilinos-13.0/    0       NULL
/opt/software/valgrind-3./      0       NULL
/opt/software/valgrind-3.12.0/  2       /opt/software/valgrind-3.12.0/lib/valgrind/vgpreload_core-amd64-linux.so\n
/opt/software/valgrind/ 0       NULL
/opt/software/VASP-5.4.4-gcc/   0       NULL
/opt/software/VASP-5.4.4-icc1/  0       NULL
/opt/software/VASP-5.4.4.1.old/ 0       NULL
/opt/software/VASP-5.4.4.1/     554     /opt/software/VASP-5.4.4.1/build/gam/LDApU.o
/opt/software/wien2k/   3861    /opt/software/wien2k/17.1/SRC_2DRoptimize/fminenefitCOA.o
/opt/software/WRF/      0       NULL
/opt/SRC/       2       /opt/SRC/cp2k/tools/toolchain/install/fftw-3.3.8/lib/libfftw3.so.3.5.8\n
/opt/sudoers/   0       NULL
/opt/support/   0       NULL
/opt/syssoft/   0       NULL
/opt/tests/     0       NULL
/opt/tmp/       0       NULL
/opt/toolworks/ 1       /opt/toolworks/totalview.2019.0.4/linux-x86-64/shlib/unwind/obj/libunwind-x86_64.so.8\n
/opt/tst-g/     0       NULL
/opt/tst/       0       NULL
/opt/ve/        0       NULL
/opt/VirtualGL/ 0       NULL
/opt/vm/        0       NULL
/opt/x11-fonts/ 0       NULL
/opt/xalt-0.5.0/        0       NULL
/opt/xalt/      0       NULL
/opt/xalt2/     0       NULL
/opt/xcat/      0       NULL
