Путь,Пакет,Версия,Описание пакета,Последнее изменение,Есть файлы без доступа на чтение,Последний запуск,Запусков в 2023,Запусков в 2024,Запусков в 2025,ПО для рассмотрения?,Модули,Тип,Владелец,Группа,Версия в Octoshell,Коммерческий(Octoshell)
/opt/ccoe/gromacs-2019.4-icc,,,,2019-11-19,нет,,,,,,gromacs/2019.4-icc,directory,practice,practice,,
/opt/ccoe/gsl,,,,2024-03-12,нет,,,,,,,directory,root,root,,
/opt/ccoe/intel_2019_cpp,,,,2018-12-17,да,,,,,,,directory,afanasievily_251892,afanasievily_251892,,
/opt/ccoe/intel_2019_cpp_only,,,,2018-12-17,да,,,,,,,directory,afanasievily_251892,afanasievily_251892,,
/opt/ccoe/lammps-30Jul16,,,,2016-10-05,нет,,,,,,,directory,afanasievily_251892,afanasievily_251892,,
/opt/ccoe/lammps-7Dec15,,,,2016-02-26,нет,,,,,,,directory,afanasievily_251892,ccoe,,
/opt/ccoe/libxx,,,,2018-12-13,нет,,,,,,,directory,practice,practice,,
/opt/ccoe/magma-1.7.0,,,,2016-02-25,нет,,,,,,magma/ magma/1.7.0,directory,afanasievily_251892,ccoe,Magma 1.7.0,"Да
Данные о стоимости лицензии можно посмотреть здесь
http://magma.maths.usyd.edu.au/magma/ordering/
"
/opt/ccoe/modulefiles,,,,2021-11-14,нет,,,,,,,directory,potapyurich_251891,ccoe,,
/opt/ccoe/myModulefiles,,,,2016-04-26,нет,,,,,,,directory,potapyurich_251891,ccoe,,
/opt/ccoe/namd/2.14-icc-cuda8,,,,2021-03-30,нет,,,,,,namd/2.14-mpi-gpu,directory,root,root,,
/opt/ccoe/namd/Linux-x86_64-icc,,,,2016-02-25,нет,,,,,,,directory,potapyurich_251891,ccoe,NAMD 2.11,"Пакет коммерческий, но бесплатен для некоммерческого использования"
/opt/ccoe/namd/namd-3.01-gcc-cuda,,,,2025-02-21,нет,,,,,,namd/ namd/3.01-cuda-12,directory,markzaborodskiy_2338,root,,
/opt/ccoe/namd/namd-3.01-gcc-cuda11,,,,2025-02-25,нет,,,,,,namd/3.01-cuda-11,directory,root,root,,
/opt/ccoe/namd/namd-test,,,,2025-03-17,нет,,,,,,namd/3.01-cuda-test,directory,practice,root,,
/opt/ccoe/namd_cuda,,,,2016-02-25,нет,,,,,,,directory,potapyurich_251891,ccoe,,
/opt/ccoe/namd_smp,,,,2016-02-25,нет,,,,,,,directory,potapyurich_251891,ccoe,,
/opt/ccoe/nccl,,,,2018-12-17,нет,,,,,,,directory,practice,practice,,
/opt/ccoe/nvhpc_2024_245,,,,2024-07-05,нет,,,,,,,directory,markzaborodskiy_2338,root,,
/opt/ccoe/old,,,,2016-05-18,нет,,,,,,,directory,potapyurich_251891,potapyurich_251891,,
/opt/ccoe/openCV-2.4,,,,2018-11-10,нет,,,,,,,directory,practice,practice,,
/opt/ccoe/plumed2,,,,2025-04-07,нет,,,,,,,directory,practice,practice,,
/opt/ccoe/pmu-events,,,,2018-04-04,нет,,,,,,,directory,afanasievily_251892,afanasievily_251892,,
/opt/ccoe/singularity-3.11.0,,,,2023-03-14,нет,,,,,,singularity/ singularity/3.11.0,directory,root,root,,
/opt/ccoe/sources,,,,2016-05-10,да,,,,,,,directory,potapyurich_251891,ccoe,,
/opt/ccoe/tensorflow,,,,2018-10-30,нет,,,,,,,directory,practice,practice,,
/opt/ccoe/vasp-6.4.1,,,,2024-09-03,нет,,,,,,,directory,root,root,,
/opt/ccoe/vasp-6.6.3,,,,2024-08-09,нет,,,,,,,directory,markzaborodskiy_2338,root,,
/opt/cgf,,,,2019-12-24,да,,,,,,,directory,render,root,,
/opt/cgru,,,,2019-05-22,нет,,,,,,,directory,render,root,,
/opt/check-status,,,,2020-09-28,нет,,,,,,,regular empty file,root,root,,
/opt/clang,,,,2016-02-25,нет,,,,,,,directory,root,root,,
/opt/cmake,,,,2016-02-25,да,,,,,,,directory,root,root,,
/opt/collectd,,,,2016-08-26,да,,,,,,,directory,root,root,,
/opt/collectd-5.5,,,,2017-11-16,да,,,,,,,directory,root,root,,
/opt/conda_env,,,,2024-03-04,да,,,,,,,directory,root,root,,
/opt/containerd,,,,2022-08-24,да,,,,,,,directory,root,root,,
/opt/cuda/cuda,,,,2024-11-19,да,,,,,,,directory,root,root,,
/opt/cuda/cuda-10.1,,,,2019-07-17,да,,,,,,cuda/10.1,directory,practice,practice,,
/opt/cuda/cuda-11.1,,,,2020-10-05,да,,,,,,cuda/11.1,directory,practice,practice,,
